WP,wielkopolskie,województwo,,2023,PL-A-WP-001,A1,BILLS SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ,PL,Ostrzeszów,"ul. Ignacego Daszyńskiego 31, 63-500",PL5140361901,KRS 0001074645,https://www.bills.pl,brak,finanse@bills.pl,+48 62 586 07 38,brak,brak,brak,,wyłączność,"PowerMatic, SMOKS tobacco aromas, Intenze e-liquid",nie,Polska producent (PowerMatic via PL/CCE exclusive),duży 🟢,exclusive PL+CEE (BILLS),bills.pl,brak,n/a,n/a,Marceli,właściciel/CEO,KRS API + NIP + www.bills.pl + VIES,2026-08-10,QS: 90/100 | 2026-08-10 ✅ FROZEN (API),✅🐋,duży
,,,,,PL-A-XX-092,B4,nowości w AGD 3dAGD,PL,Rybnik,"ul. Św. Józefa 24c, 44-217 Rybnik",,,https://hurtownia-qwerty.pl,,biuro@hurtownia-qwerty.pl,603 152 145,,,,,hurtownik,Premier,Premier,mix,,🔴,B2B only,3,średni,,,,intake_PL_2026-08-10 | https://hurtownia-qwerty.pl/pl/n/tag/nowosci-w-agd,,🟡🔍 🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Zidentyfikowany dystrybutor/sprzedawca marki: ""Premier"" (nabijarka OR maszynka OR gilzy) hurtownia OR dyst | orig_uwagi: Weryfikacja: None | orig_next: Zweryfikować dane, produkty i status B2B przed kontaktem | user_orig_priorytet='C — weryfikacja i nurturing' | user_orig_score=80 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | ex-A4 → B4 (no NIP, L1 research needed)",duży
,,,,,PL-A-XX-095,B4,"""Mam dość tego"". Obwinia Putina i Trumpa",PL,,,,,https://tvn24.pl,,,,,,,,hurtownik,Premier,Premier,mix,,🔴,B2B only,3,średni,,,,intake_PL_2026-08-10 | https://tvn24.pl/swiat/premier-wielkiej-brytanii-keir-starmer-mam-dosc-obwinia-donalda-trumpa-i-wladimira-putina-st8992287,,🟡🔍 🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Zidentyfikowany dystrybutor/sprzedawca marki: ""Premier"" (nabijarka OR maszynka OR gilzy) hurtownia OR dyst | orig_uwagi: Weryfikacja: None | orig_next: Zweryfikować dane, produkty i status B2B przed kontaktem | user_orig_priorytet='C — weryfikacja i nurturing' | user_orig_score=80 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | ex-A4 → B4 (no NIP, L1 research needed)",duży
,,,,,PL-A-XX-096,B4,"Premier: wejdziemy do koalicji, jeśli będzie oferta polskich ...",PL,Myślenice,MILMAG sp. z o.o. | ul. Sikorskiego 22/2 | 32-400 Myślenice,,,https://milmag.pl,,,+48 693 537 533,,,,,hurtownik,Premier,Premier,mix,,🔴,B2B only,3,średni,,,,intake_PL_2026-08-10 | https://milmag.pl/premier-wejdziemy-do-koalicji-jesli-bedzie-oferta-polskich-firm-niewiadow-polska-grupa-militarna-jestesmy-gotowi/,,🟡🔍 🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Zidentyfikowany dystrybutor/sprzedawca marki: ""Premier"" (nabijarka OR maszynka OR gilzy) hurtownia OR dyst | orig_uwagi: Weryfikacja: None | orig_next: Zweryfikować dane, produkty i status B2B przed kontaktem | user_orig_priorytet='C — weryfikacja i nurturing' | user_orig_score=80 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | ex-A4 → B4 (no NIP, L1 research needed)",duży
,Ogólnopolska,,,,PL-A-XX-005,B4,PRODAP,PL,,,,,https://prodap.pl,,,,,,,,producent,PowerMatic,,mix,średni,🟢,B2B only,1,niski,,,,intake_PL_2026-08-10 | https://prodap.pl,,🔍 🔍⚠️ 🔧 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny. | orig_uwagi: Major dedicated distributor specifically for Powermatic injectors and replacement parts. | orig_next: E-mail handlowy + telefon follow-up w ciągu 48 godzin | user_orig_priorytet='A2 — kontakt w 7 dni' | user_orig_score=81 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | A1 candidate NO-NIP — needs L1 research before merge | ex-A1 → B4 (PRODAP = maszyny rolnicze, NOT tobacco)",duży
MZ,mazowieckie,województwo,,,PL-A-MZ-004,B4,"Handel Hurtowy i Detaliczny, Beata Czyż w Radom",PL,Radom,,,,38250-pl.all.biz,,,+48 504 08-33-60,,,,,detalista,"PowerMatic, Dark Horse, OCB",Dark Horse,mix,średni,🟢,B2B only,3,średni,,,,intake_PL_2026-08-10 | 38250-pl.all.biz,,🟡🔍 🔍⚠️ 🔧 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek. | orig_uwagi: Model: Detalista-Z-Hurtem. Asortyment: Gilzy papierosowe (Mr Tobacco, DREK, Dark Horse), nabijarki do gilz (Powermatic 1, Powermatic 2, OCB Mikromatic Duo), akcesoria dla palaczy. Info: Powermatic 1, Powermatic 2, OCB Mikromatic Duo | Status źródłowy: Aktywny | orig_next: E-mail handlowy + telefon follow-up w ciągu 48 godzin | user_orig_priorytet='A2 — kontakt w 7 dni' | user_orig_score=80 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | A1 candidate NO-NIP — needs L1 research before merge | ex-A1 → B4 (JDG, all.biz listing)",duży
,Nieustalony,,,,PL-A-XX-014,B4,Ubuy,PL,,Poland (Domain),,,https://www.ubuy.com.pl,,,,,,,,marketplace,PowerMatic,,mix,,🔴,,2,średni,,,,intake_PL_2026-08-10 | https://www.ubuy.com.pl,,🔍 🔍⚠️ 🔧 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek. | orig_uwagi: Status źródłowy: Aktywny | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=66 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | A1 candidate NO-NIP — needs L1 research before merge | ex-A1 → B4 (ubuy.com.pl = e-commerce platform)",duży
,Ogólnopolska,,,,PL-A-XX-019,B4,Allegro: konopny_sklep,PL,,,,,https://allegro.pl/uzytkownik/konopny_sklep,,,,,,,,marketplace,"PowerMatic, OCB",,mix,,🔴,,2,średni,,,,intake_PL_2026-08-10 | https://allegro.pl/uzytkownik/konopny_sklep,,🔍 🔍⚠️ 🔧 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny. | orig_uwagi: Sprzedaje OCB Mikromatic oraz Powermatic Mini. | Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=65 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | A1 candidate NO-NIP — needs L1 research before merge | ex-A1 → B4 (Allegro seller)",duży
,Ogólnopolska,,,,PL-A-XX-005,B4,PRODAP,PL,,,,,https://prodap.pl,,,,,,,,producent,PowerMatic,,mix,średni,🟢,B2B only,1,niski,,,,intake_PL_2026-08-10 | https://prodap.pl,,🔍 🔍⚠️ 🔧 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny. | orig_uwagi: Major dedicated distributor specifically for Powermatic injectors and replacement parts. | orig_next: E-mail handlowy + telefon follow-up w ciągu 48 godzin | user_orig_priorytet='A2 — kontakt w 7 dni' | user_orig_score=81 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | A1 candidate NO-NIP — needs L1 research before merge | ex-A1 → B4 (PRODAP = maszyny rolnicze, NOT tobacco)",duży
MZ,mazowieckie,województwo,,,PL-A-MZ-004,B4,"Handel Hurtowy i Detaliczny, Beata Czyż w Radom",PL,Radom,,,,38250-pl.all.biz,,,+48 504 08-33-60,,,,,detalista,"PowerMatic, Dark Horse, OCB",Dark Horse,mix,średni,🟢,B2B only,3,średni,,,,intake_PL_2026-08-10 | 38250-pl.all.biz,,🟡🔍 🔍⚠️ 🔧 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek. | orig_uwagi: Model: Detalista-Z-Hurtem. Asortyment: Gilzy papierosowe (Mr Tobacco, DREK, Dark Horse), nabijarki do gilz (Powermatic 1, Powermatic 2, OCB Mikromatic Duo), akcesoria dla palaczy. Info: Powermatic 1, Powermatic 2, OCB Mikromatic Duo | Status źródłowy: Aktywny | orig_next: E-mail handlowy + telefon follow-up w ciągu 48 godzin | user_orig_priorytet='A2 — kontakt w 7 dni' | user_orig_score=80 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | A1 candidate NO-NIP — needs L1 research before merge | ex-A1 → B4 (JDG, all.biz listing)",duży
,Nieustalony,,,,PL-A-XX-014,B4,Ubuy,PL,,Poland (Domain),,,https://www.ubuy.com.pl,,,,,,,,marketplace,PowerMatic,,mix,,🔴,,2,średni,,,,intake_PL_2026-08-10 | https://www.ubuy.com.pl,,🔍 🔍⚠️ 🔧 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek. | orig_uwagi: Status źródłowy: Aktywny | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=66 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | A1 candidate NO-NIP — needs L1 research before merge | ex-A1 → B4 (ubuy.com.pl = e-commerce platform)",duży
,Ogólnopolska,,,,PL-A-XX-019,B4,Allegro: konopny_sklep,PL,,,,,https://allegro.pl/uzytkownik/konopny_sklep,,,,,,,,marketplace,"PowerMatic, OCB",,mix,,🔴,,2,średni,,,,intake_PL_2026-08-10 | https://allegro.pl/uzytkownik/konopny_sklep,,🔍 🔍⚠️ 🔧 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny. | orig_uwagi: Sprzedaje OCB Mikromatic oraz Powermatic Mini. | Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=65 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | A1 candidate NO-NIP — needs L1 research before merge | ex-A1 → B4 (Allegro seller)",duży
PK,Plzeňský kraj,kraj,,,CZ-A-PK-001,A1,"FORTIS-DB, SPOL. S R.O.",CZ,Plzeň,"Úněšovská 2205/17, Bolevec, 323 00",CZ62586289,ARES IČO 62586289,https://eshop.fortisdb.cz,brak,info@fortisdb.cz,+420 377 220 600,brak,fortisdbcz,brak,,autoryzowany,PowerMatic V (jako dovozce/importer),nie,import (kraj nieznany),średni 🟡,hurtownia + eshop,5,brak,Jiří Dort,42.5% udziałowiec (od 15.03.2013),brak,ARES API + web search,ARES API + web search,2026-08-10,QS: 90/100 | 🔴🔍 2026-08-10 ✅ FROZEN (API),"⚠️ POTENCJALNA KOLIZJA Z WYŁĄCZNOŚCIĄ BILLS - importuje PowerMatic V w CZ. NALEŻY ZWERYFIKOWAĆ kanał importu. Właściciel od 2024: Moosmayr Holding GmbH (Austria) - 50% udziałów. IČO 62586289, NACE 46350. Realna firma od 1994. PL/ALP nie mają dostępu do tego dealera ⚠️ DO-WERYFIKACJI",duży
PR,Hlavní město Praha,kraj,,,CZ-A-PR-001,A4,PEAL A.S.,CZ,Praha 10,"U plynárny č.ev. 412/101, Michle, 101 00",CZ25775634,ARES IČO 25775634,https://www.peal.cz,brak,vedouci@peal.cz,+420 602 156 452,brak,brak,brak,,reseller,Don Pealo (marka własna),tak (Don Pealo),import (głównie Europa + świat),duży 🟢,hurtownia ogólnopolska CZ,5,brak,brak,Miroslav Kaštánek,Chairman,ARES API + web search,ARES API + web search,2026-08-10,QS: 90/100 | 🐋 2026-08-10 ✅ FROZEN (API),"🐋 JEDEN Z NAJWIĘKSZYCH w CZ. 5 oddziałów: Praha (HQ), Tábor, Plzeň, Ostrava, Liberec, Brno. Właściciel marki Don Pealo. Dystrybucja hurtowa wyrobów tytoniowych, akcesoria, napoje, HORECA, automaty papierosowe. Grupa PEAL jest też głównym udziałowcem Czech Tobacco Corporation A.S. Import z zagranicy ⚠️ DO-WERYFIKACJI",duży
JM,Jihomoravský kraj,kraj,,,CZ-A-JM-001,A4,MOSTEX IMPORT-EXPORT S.R.O.,CZ,Modřice (Brno-venkov),"Tyršova 847, 664 42",CZ64509923,ARES IČO 64509923,brak,brak,brak,+420 547 423 340,brak,brak,brak,,reseller,do weryfikacji,nie,import-export,mały 🟡,hurtownia,4,średni,brak,Dr. Josef Stanislav,brak,ARES API,ARES API,2026-08-10,QS: 80/100 | 🔍 2026-08-10 ✅ FROZEN (API),"Firma import-export z Brna, działa od 1996. NACE 461, 47190. Hurtownia. Czy ma w ofercie maszynki? Do weryfikacji ⚠️ DO-WERYFIKACJI",duży
PK,Plzeňský kraj,kraj,,,CZ-B-PK-001,B8,GGT CZ a.s.,CZ,Praha,"F.V.Veselého 2760/7, Praha 9 - Horní Počernice",26293609,ARES IČO 26293609,https://www.ggtabak.cz/,,,,,,,,,,,,,,,,,Josef Hloušek,Generální ředitel (CEO),hlousek@ggtabak.cz,ARES API + web search 2026-08-10,2026-08-10,QS: 80/100 | 2026-08-10 ✅ FROZEN (API),Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
PR,Hlavní město Praha,kraj,,,CZ-B-PR-002,B8,Czech Tobacco Corporation a.s.,CZ,Pardubice,"17. listopadu 2753, Zelené Předměstí, 530 02",25283103,ARES IČO 25283103,https://www.ctc-as.cz/,,,,,,,,,,,,,,,,,Přemysl Opletal,Chairman of the Board,,ARES API + web search 2026-08-10,2026-08-10,QS: 80/100 | 2026-08-10 ✅ FROZEN (API),Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
PR,Hlavní město Praha,kraj,,,CZ-B-PR-003,B8,PEAL a.s.,CZ,Praha,"U Plynárny 412/101, Praha 4 - Michle",25775634,ARES IČO 25775634,https://www.peal.cz/,,,,,,,,,,,,,,,,,,,,ARES API + web search 2026-08-10,2026-08-10,QS: 80/100 | 2026-08-10 ✅ FROZEN (API),Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
PR,Hlavní město Praha,kraj,,,CZ-B-PR-004,B4,Imperial Tobacco CR s.r.o.,CZ,Praha,"Karla Engliše 3201/6, Praha 5 - Smíchov",01485733,ARES IČO 01485733,do ustalenia,,,+420 296 541 111,,,,,,,,,,,,,,Felix von Schwanewede,Country Manager (Manažer trhu pro ČR),,ARES API + web search 2026-08-10,2026-08-10,QS: 60/100 | 2026-08-10 ⚠️ DO-WERYFIKACJI (API),Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
PR,Hlavní město Praha,kraj,,,CZ-B-PR-005,B4,Philip Morris ČR a.s.,CZ,Praha,"Vítězná 1, Kutná Hora",14803534,ARES IČO 14803534,do ustalenia,,,+420 266 702 111,,,,,,,,,,,,,,Fabio Costa,"Managing Director, Chairman of the Board",philipmorris.cz@pmi.com,ARES API + web search 2026-08-10,2026-08-10,QS: 80/100 | 2026-08-10 ✅ FROZEN (API),Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
PR,Hlavní město Praha,kraj,,,CZ-B-PR-006,B4,British American Tobacco (Czech Republic) s.r.o.,CZ,Praha,"Karolinská 654/2, Karlín, 18600 Praha 8",61775339,ARES IČO 61775339,do ustalenia,,,+420 724 970 431,,,,,,,,,,,,,,Tomáš Tesař,manažer komunikace,prague_press@bat.com,ARES API + web search 2026-08-10,2026-08-10,QS: 80/100 | 2026-08-10 ✅ FROZEN (API),Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
PR,Hlavní město Praha,kraj,,,CZ-B-PR-007,B4,"GECO, a.s.",CZ,Praha,"Olgy Havlové 2917/38, Žižkov, 13000 Praha 3",CZ63080737,ARES IČO 63080737,do ustalenia,,,+420 241 404 738,,,,,,,,,,,,,,Libor Chrobok,CEO / Chairman of the Board,mail.box@geco.cz,ARES API + web search 2026-08-10 (IČO fixed from 60471484 GECO KLEMPIZO → 63080737 GECO a.s.),2026-08-10,QS: 80/100 | 2026-08-10 ✅ FROZEN (API),Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,BG-B-XX-001,B8,Tobacco Distribution OOD,BG,Sofia,"bul. Knyaginya Maria Luiza 91B, Sofia",BG206015071,ЕИК 206015071,https://tobacco.bg/,,office@tobacco.bg,+359 879 336 630,https://linkedin.com/in/yani-georgiev,,,,,,,,,,,,,Yani Georgiev,Owner,,KRS API / CEIDG API + web search 2026-08-10,2026-08-10,QS: 90/100 | 2026-08-10 ✅ FROZEN (API),"Starter set: web search 2026-08-10. Nip/rejestr do ustalenia. | Лиценз за търговия с тютюневи изделия BG5800V012306. Главен дистрибутор на ELFBAR, RELX (BG). Hookah марки LIRRA, HOOKAIN, HOLSTER, DARKSIDE, ELEMENT. Собствена марка GENEX. | License BG5800V012306. Exclusive distributor of ELFBAR, RELX (BG), LIRRA/HOOKAIN/HOLSTER/DARKSIDE/ELEMENT hookah. Own brand GENEX. | License BG5800V012306. Exclusive distributor ELFBAR, RELX. Hookah brands LIRRA, HOOKAIN, HOLSTER, DARKSIDE, ELEMENT. Own brand GENEX.",
XX,nieznany,nieznany,,,BG-B-XX-002,B8,TTI Bulgaria EOOD (Pöschl),BG,Sofia,ul. Angelov vrah 22,do weryfikacji,do weryfikacji,https://ttibulgaria.com/,,office@ttibulgaria.com,+359 2 955 74 03,,,,,,,,,,,,,,Tenko Bankov,Managing Director,,ttibulgaria.com + web search 2026-08-10,2026-08-10,QS: 45/100 | 2026-08-10 ⏳ PENDING_API,"Starter set: web search 2026-08-10. Nip/rejestr do ustalenia. | Клон на Pöschl Tabak (Geisenhausen, DE), основан 2001. Ексклузивен дистрибутор на тютюн за енфие, цигари и лула. | Subsidiary of Poschl Tabak (Geisenhausen, DE), since 2001. Exclusive distributor of snuff/pipe tobacco. | Subsidiary of Poschl Tabak (Geisenhausen, DE), since 2001. Exclusive distributor of snuff/pipe tobacco.",
XX,nieznany,nieznany,,,BG-B-XX-003,B8,Tobacco Import LTD (Bolkan),BG,Sofia,biuro Sofia + Plovdiv,do weryfikacji,do weryfikacji,https://www.tobacco-import.com/,,,,,,,,,,,,,,,,,Vlad Gitsoaika,former Managing Director,vladg@mail.bg,"tobacco-import.com (whois: reg 2008-12-16, eNom, expires 2026-12-16) + web search 2026-08-10",2026-08-10,QS: 35/100 | 2026-08-10 ⏳ PENDING_API,"Starter set: web search 2026-08-10. Nip/rejestr do ustalenia. | Официален дистрибутор на Karelia cigarettes. 3 офиса (2 София + 1 Пловдив), 4 склада. Дъщерна фирма Bolkan A&D LTD. 17 000+ търговски обекта покритие. | Official distributor of Karelia cigarettes. 3 offices (2 Sofia + 1 Plovdiv), 4 warehouses. Daughter Bolkan A&D LTD. 17000+ outlets coverage. | Official distributor of Karelia cigarettes. 3 offices (2 Sofia + 1 Plovdiv), 4 warehouses. Daughter Bolkan A&D LTD. 17000+ outlets coverage.",
XX,nieznany,nieznany,,,BG-B-XX-004,B8,Tabako Trade OOD,BG,Sofia,"ul. Brezovsko shose 137, Plovdiv",BG160087391,ЕИК 160087391,https://tobaccotrade.bg/,,,,,,,,,,,,,,,,,Димитър Вълчев,Управител (Manager),,KRS API / CEIDG API + web search 2026-08-10,2026-08-10,QS: 80/100 | 2026-08-10 ✅ FROZEN (API),Starter set: web search 2026-08-10. Nip/rejestr do ustalenia. | КИД 2008: 4635 (търговия на едро с тютюневи изделия). Регистрирана 26.02.2007. Клон на Dafna Group. Директна дистрибуция на национално ниво. | KID 2008: 4635 (wholesale of tobacco). Registered 26.02.2007. Subsidiary of Dafna Group. National direct distribution. | KID 2008: 4635 (wholesale of tobacco). Registered 26.02.2007. Subsidiary of Dafna Group. National direct distribution.,
XX,nieznany,nieznany,,,BG-B-XX-005,B4,SEKE Kardzali,BG,Plovdiv,Kardzhali,do weryfikacji,do weryfikacji,do ustalenia,,,,,,,,,,,,,,,,,,,,kompass.bg web search 2026-08-10,2026-08-10,QS: 35/100 | 2026-08-10 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,BG-B-XX-006,B4,KASIKA,BG,Haskovo,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,,,,,,,,,,,,,,,,,,kompass.bg web search 2026-08-10,2026-08-10,QS: 28/100 | 2026-08-10 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,BG-B-XX-007,B4,M.TYLER LTD,BG,Sofia,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,,,,,,,,,,,,,,,,,,kompass.bg web search 2026-08-10,2026-08-10,QS: 28/100 | 2026-08-10 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,BG-B-XX-008,B4,Imperial Tobacco Bulgaria,BG,Sofia,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,,,,,,,,,,,,,,,Hristo Tsachev,Head of FFO,,kompass.bg web search 2026-08-10,2026-08-10,QS: 28/100 | 2026-08-10 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,BG-B-XX-009,B4,British American Tobacco Bulgaria,BG,Sofia,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,+359 2 976 98 90,Country Manager at BAT Bulgaria,,,,,,,,,,,,,Mila Marechkova,Country Manager Bulgaria,bgsofiareception@bat.com,kompass.bg web search 2026-08-10,2026-08-10,QS: 33/100 | 2026-08-10 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,BG-B-XX-010,B4,Philip Morris Bulgaria,BG,Sofia,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,+359 2 806 31 00,,,,,,,,,,,,,,Denys Strobykin,General Manager,administration.pmbg@pmi.com,kompass.bg web search 2026-08-10,2026-08-10,QS: 33/100 | 2026-08-10 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,BG-B-XX-011,B4,Japan Tobacco International Bulgaria,BG,Sofia,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,,https://linkedin.com/in/manos-koukourakis,,,,,,,,,,,,,Manos Koukourakis,General Manager,,kompass.bg web search 2026-08-10,2026-08-10,QS: 28/100 | 2026-08-10 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,HR-B-XX-001,B8,Veletabak d.o.o.,HR,Zagreb,do ustalenia,do weryfikacji,do weryfikacji,https://www.veletabak.hr/,,,+385 1 7888 610,,,,,,,,,,,,,,Luka Saraf,Director,luka.saraf@veletabak.hr,web search 2026-08-10,2026-08-10,QS: 33/100 | 2026-08-10 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,HR-B-XX-002,B8,TDR d.o.o. (BAT Adria),HR,Rovinj,"Obala Vladimira Nazora 1, 52210",do weryfikacji,do weryfikacji,https://tdr.hr/,,,052844000,,,,,,,,,,,,,,Zvonko Kolobara,Director,cro_pravniodjel@bat.com,web search 2026-08-10,2026-08-10,QS: 40/100 | 2026-08-10 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,HR-B-XX-003,B8,Hrvatski duhani d.d. (BAT),HR,Virovitica,"Osječka 2, 33000",do weryfikacji,do weryfikacji,do ustalenia,,,033 730 660,,,,,,,,,,,,,,Aleksandra Grigić,Predsjednik uprave / President,hrvatski_duhani@bat.com,web search 2026-08-10,2026-08-10,QS: 40/100 | 2026-08-10 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,HR-B-XX-004,B4,Imperial Tobacco Zagreb d.o.o.,HR,Zagreb,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,01/5494040,,,,,,,,,,,,,,Tomaz Maver,Director (Market Manager SLOVENIA&CROATIA),,kompass.hr web search 2026-08-10,2026-08-10,QS: 33/100 | 2026-08-10 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,HR-B-XX-005,B4,Philip Morris Zagreb d.o.o.,HR,Zagreb,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,+385 1 616 6900,,,,,,,,,,,,,,Anita Letica,"General Manager Croatia & Slovenia, President of the Board",Anita.Letica@pmi.com,kompass.hr web search 2026-08-10,2026-08-10,QS: 33/100 | 2026-08-10 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,HR-B-XX-006,B4,JT International Zagreb d.o.o.,HR,Zagreb,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,+385 1 6040801,,,,,,,,,,,,,,Simone Mammi,Direktor,,kompass.hr web search 2026-08-10,2026-08-10,QS: 33/100 | 2026-08-10 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,HR-B-XX-007,B4,Pogon Kooltura d.o.o.,HR,Donji Stupnik,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,,,,,,,,,,,,,,,Željko Petrić,Direktor,,kompass.hr web search 2026-08-10,2026-08-10,QS: 28/100 | 2026-08-10 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,HR-B-XX-008,B4,Shisha Trade d.o.o.,HR,Kaštel Štafilić,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,,,,,,,,,,,,,,,,,,kompass.hr web search 2026-08-10,2026-08-10,QS: 28/100 | 2026-08-10 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,HR-B-XX-009,B4,AER Wholesale,HR,Umag,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,+39 02 947 501 07,,,,,,,,,,,,,,Matteo Lovisolo,Founder/CEO,info@aer-wsale.com,europages web search 2026-08-10,2026-08-10,QS: 33/100 | 2026-08-10 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,HR-B-XX-010,B4,TDR D.O.O. (Rovinj Tobacco Factory),HR,Rovinj,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,052844000,,,,,,,,,,,,,,Zvonko Kolobara,Director,cro_pravniodjel@bat.com,europages web search 2026-08-10,2026-08-10,QS: 33/100 | 2026-08-10 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
